ID,age,sex,uwGzpctStr,wtGzpctStr,uwPTpctStr,wtPTpctStr,uwGPpctStr,wtGPpctStr,uwAllpctStr,wtAllpctStr,uwFrpctStr,wtFrpctStr,uwSidepctStr,wtSidepctStr,uwBackpctStr,wtBackpctStr
2,4,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,Male,0,0,0.25,0.439393939,0.4,0.272727273,0.222222222,0.214285714,0.6,0.662337662,0.166666667,0.166666667,0,0
7,4,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,Female,0,0,0.166666667,0.166666667,0.333333333,0.303030303,0.166666667,0.161255411,0.2,0.164502165,0.333333333,0.331168831,0,0
12,4,Male,0.142857143,0.136363636,0.166666667,0.272727273,0.2,0.136363636,0.166666667,0.164502165,0.6,0.666666667,0,0,0,0
13,4,Male,0.166666667,0.136363636,0,0,0,0,0.058823529,0.056277056,0.25,0.168831169,0,0,0,0
15,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,Female,0,0,0.166666667,0.272727273,0,0,0.0625,0.056277056,0.25,0.333333333,0,0,0,0
20,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,Male,0,0,0.166666667,0.272727273,0,0,0.055555556,0.056277056,0.2,0.333333333,0,0,0,0
23,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,Male,0,0,0,0,0.142857143,0.136363636,0.055555556,0.051948052,0.2,0.164502165,0,0,0,0
31,4,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,Female,0,0,0,0,0.166666667,0.090909091,0.058823529,0.034632035,0.166666667,0.10966811,0,0,0,0
35,4,Female,0,0,0.166666667,0.272727273,0,0,0.055555556,0.056277056,0.2,0.333333333,0,0,0,0
39,4,Female,0.285714286,0.181818182,0,0,0,0,0.111111111,0.075036075,0.4,0.225108225,0,0,0,0
40,4,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,Female,0,0,0,0,0.285714286,0.181818182,0.105263158,0.069264069,0.333333333,0.219336219,0,0,0,0
45,4,Female,0,0,0.166666667,0.272727273,0.333333333,0.272727273,0.166666667,0.16017316,0.6,0.662337662,0,0,0,0
47,4,Male,0,0,0,0,0.333333333,0.272727273,0.111111111,0.103896104,0.4,0.329004329,0,0,0,0
48,4,Male,0,0,0,0,0.166666667,0.136363636,0.055555556,0.051948052,0.25,0.164502165,0,0,0,0
2,5,Male,0,0,0,0,0.2,0.1672,0.0625,0.0576,0.25,0.1664,0,0,0,0
3,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,Male,0,0,0.166666667,0.1672,0.166666667,0.1672,0.111111111,0.112,0.333333333,0.3312,0,0,0,0
9,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,Male,0,0,0.166666667,0.1672,0.166666667,0.1672,0.111111111,0.112,0.333333333,0.3312,0,0,0,0
11,5,Female,0,0,0.142857143,0.1664,0.2,0.1672,0.111111111,0.1128,0.166666667,0.1664,0.166666667,0.1648,0,0
12,5,Male,0,0,0.166666667,0.1672,0,0,0.055555556,0.0544,0.142857143,0.1648,0,0,0,0
13,5,Male,0,0,0,0,0.166666667,0.111466667,0.066666667,0.0384,0.2,0.110933333,0,0,0,0
15,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
